,documents,document_scores,document_ids
0,"LONDON, England -- Graffiti artist Banksy, famed for infiltrating museum collections without their knowledge and spray-painting public buildings around the world, is holding his first major exhibition in years. A Banksy painting of the British House of Commons at England's Bristol museum. This time, however, the anonymous artist worked in tandem with the director of Bristol museum in the UK. CNN's Max Foster got a preview of his largest project to date. The artist's anonymity gained him notoriety and he became one of the art world's biggest names with his works selling at auction for hundreds of thousands of dollars. The exhibition's range, while very varied, remained true to Banksy form with his usual unconventional take on art.  See pictures from Banksy's exhibition » . ""I think we might have dragged them down to our level rather than being elevated to theirs"" Banksy, who is thought to be from Bristol, said about the museum. He filled three stories of the building with his art in 36 hours under tight security, as only a few museum staff were aware of the shows' imminent arrival. His work is hidden among the museum's usual exhibits and is split into different rooms, including installations, paintings and sculptures. In one of the paintings, a character has been cut out and is instead sitting on the painting's frame, perhaps taking a break from posing? Another piece, which at first glance, looks like a copy of an ancient classical statue, is in fact a woman over-loaded with countless shopping bags as she browses for yet another item. Perhaps the most controversial, yet equally light-hearted piece, is a painting of the British Parliamentary House of Commons, filled with chimpanzees who are looking surprisingly ""ministerial."" ""You paint a hundred chimpanzees and they call you a guerilla artist,"" Banksy said. While one of the more poignant installations is that of Tweety, the Warner Bros. animated character famous for his upbeat personality and energy, looking old and life-less. ""This show is my vision of the future,"" the artist said . Banksy is unlikely to show up at the exhibition as he attempts to retain his anonymity. But while we may never know his identity, with this latest show, Banksy has definitely shown yet another facet of his personality. CNN's Max Foster contributed to this report .",0.7977188,7484
1,"ATLANTA, Georgia (CNN) -- It is an irony of contemporary art-museum management: Sometimes the museum that creates an exhibition doesn't get to premiere it. In a treatment of a Bridgeman Art Library photo, the High shows visitors Jules Arnout's ""View of the Grand Gallery."" This is the case this week, as Atlanta's High Museum of Art couples its public opening of a second year of Louvre-fueled shows from Paris, France, with an exhibition about influences on the Impressionists. ""Inspiring Impressionism"" is organized by the Denver Art Museum. It opened Tuesday at the High, to run there through January  2008. With the backing of Northern Trust, the show will then travel to Denver February 23 to May 25, 2008, and then on to the Seattle Art Museum from June 19 to September 21, 2008. Why not start in Denver? That museum this fall is host to pieces seen in the first year of the three-year Louvre Atlanta series of exhibitions. Like priceless dominos falling, these shows roll around the country and the world, globalization dictating galas, super-sensitive custom shipping companies probably among the biggest winners.  See a gallery of images from 'Inspiring Impressionism' at the High Museum of Art » . Another unintended effect may be shadowing of one important outing by another. It should be interesting to learn whether showing ""Inspiring Impressionism"" at the High on the same time frame as the second year of Louvre Atlanta pays off. Do all the boats in Monet's ""Autumn on the Seine, Argenteuil"" float? Smart museum-goers will see it all. ""The Louvre and the Ancient World"" and the companion show ""The Eye of Josephine,"" after all, look at some of the oldest treasures in the Louvre's vast holdings.   See a gallery of some of the highlights of the Louvre Atlanta shows » . The fit is comfortable, in a way, the Impressionist movement of the turn of the last century finding its main proponents in French artists. The emphasis here, however, is on what older works may have moved and motivated such artists as Claude Monet, Pierre-Auguste Renoir and Paul Cézanne. One very distinctive connection from the Louvre Atlanta opener of last year is a section of this new show that looks at the tradition of modern-era artists learning by studying the work of masters at the Louvre, Bartolomé Esteban Murillo's ""The Beggar Boy"" of around 1650 being one of the most-copied canvases in Western art's modern history. From the outset, visitors to ""Inspiring Impressionism"" are reminded of the Louvre treasures all around them at the High: The Impressionism show's entry gallery is flanked by a handsome photographic treatment of Louis Jules Arnout's ""View of the Grand Gallery at the Louvre"" from between 1850 and 1870. In that original painting and color lithograph that followed, Arnout captured the bustle of artists working and visitors promenading in the Louvre's chief exhibition space that runs along the Seine in Paris. In fact, even older-era echoes of this same concept are encountered on looking at Louvre Atlanta's ""The Tiber"" marble from the first century A.D., you're reminded that Michelangelo himself was aware of that piece, influenced by it, presumably inspired by it. So a surprise symmetry takes shape at the High this fall, as visitors contemplate dialogues between museums (the Louvre, the High, Denver, Seattle), the viewers of art in Europe and the United States, and the artists themselves in France, in the U.S. and elsewhere. High director Michael Shapiro calls these synchronicities ""visual evidence of connections."" His colleagues Timothy Standring of Denver and Ann Dumas of London, England, have held up their end of this conversational eyeful with timely contributions, glimpses of Old World craft from Titian and Velasquez to Fragonard and Rubens -- and the ""moderns"" who saw beyond them to a new age of aesthetic debate. Don't miss some of the comments and writings of various artists, used as part of the display of the show at the High. Degas may have said it most honestly: ""No art is less spontaneous than mine. What I do is the result of refection and the study of the Old Masters."" Joining Northern trust Corporation in funding the exhibition are the National Endowment for the Humanities, and support is also provided by an indemnity from the Federal Council on the Arts and the Humanities.  E-mail to a friend .",0.78654367,118
2,"(CNN) -- Swiss police were scrambling Monday in search of three masked men who stole four Impressionist paintings worth about $163 million (180 million Swiss francs) Sunday in a heist police characterized as ""spectacular."" Claude Monet's ""Poppies near Vetheuil"" was one of the famous paintings stolen by the armed robbers. The three men entered the E.G. Buehrle Collection -- among the finest collections of Impressionist and post-Impressionist art in the world -- in Zurich, Switzerland, at around 4:30 p.m. CET (8:30 a.m. ET), police said. One of the men threatened personnel at the museum's front door with a pistol and forced them to the ground, police said, while the other two men went into an exhibition room and stole four oil paintings by Paul Cezanne, Edgar Degas, Claude Monet and Vincent van Gogh. Afterward, the three men loaded the paintings -- Monet's ""Poppies near Vetheuil,"" Degas' ""Count Lepic and his Daughters,"" Van Gogh's ""Blossoming Chestnut Branches"" and Cezanne's ""Boy in a Red Vest"" -- into a white car parked in front of the museum and then drove off, police said. Police said the men were wearing dark clothes and hoods, and one of them spoke German with a Slavic accent. They were all of average height, police said. There is a reward of $91,000 (100,00 Swiss francs) for information leading to the return of the paintings, police said. The Swiss art heist follows the recent theft in Switzerland of two paintings by Pablo Picasso, Bjoern Quellenberg, a spokesman for the Kunsthaus, a major art museum in Zurich, said.  The 'dumbest' form of art crime » . The director of the Kunsthaus serves on the E.G. Buhrle private art foundation's council, Quellenberg said. In that theft, thieves stole the paintings, the 1962 ""Tete de Cheval"" (""Horse's Head"") and the 1944 ""Verre et Pichet"" (""Glass and Pitcher"") by Picasso. They were on loan from a German museum and valued at $4.5 million when they were stolen February 6, according to news reports. E-mail to a friend .",0.7809318,908
3,"(CNN) -- Police have recovered two of the four Impressionist paintings stolen earlier this month in a daring museum heist, police in Zurich, Switzerland said Tuesday. Claude Monet's ""Poppies near Vetheuil"" has been recovered by Swiss police. The Monet and van Gogh oil paintings were in good condition, police said, and the search continued for the other two -- a Cezanne and a Degas. A parking lot attendant at the Psychiatric University Hospital in Zurich found the paintings Monday afternoon in the back of an unlocked white car, police said. It was not clear how long the car, an Opel Omega with stolen license plates, had been parked on the lot, police said. ""The two paintings, worth about 70 million francs($64 million), are in good condition and are still protected by the original glass covering,"" police said in a statement. Three masked men stole the four paintings in what police called a ""spectacular"" heist Feb. 11 at the E.G. Buhrle Collection -- among the finest collections of Impressionist and post-Impressionist art in the world. One of the men threatened personnel at the museum's front door with a pistol and forced them to the ground, police said, while the other two men went into an exhibition room and stole four oil paintings by Paul Cezanne, Edgar Degas, Claude Monet and Vincent van Gogh. Afterward, the three men loaded the paintings into a white car parked in front of the museum and then drove off, police said. The paintings recovered Monday are Monet's ""Poppies near Vetheuil"" and van Gogh's ""Blossoming Chestnut Branches."" Still missing are Degas' ""Count Lepic and his Daughters"" and Cezanne's ""Boy in a Red Vest."" The four paintings are worth a total of about $163 million (180 million Swiss francs). A reward of $91,000 (100,00 Swiss francs) has been posted for information leading to the return of the paintings, police said. A Zurich police task force, which includes an art expert, had received tips from around the world, police said. The task force was looking into possible connections with other art thefts inside Switzerland and abroad. The Zurich heist followed the recent theft in Switzerland of two paintings by Pablo Picasso, said Bjoern Quellenberg, a spokesman for the Kunsthaus, another major art museum in Zurich. The director of the Kunsthaus serves on the E.G. Buhrle private art foundation's council, Quellenberg said. In that theft, thieves stole the 1962 ""Tete de Cheval"" (""Horse's Head"") and the 1944 ""Verre et Pichet"" (""Glass and Pitcher"") by Picasso. They were on loan from a German museum and valued at $4.5 million when they were stolen February 6, according to news reports.  E-mail to a friend .",0.7573673,1088
4,"LONDON, England (CNN) -- Banksy is Britain's most wanted artist -- his art sells for hundreds of thousands of dollars, but he continues to use public spaces as his main canvas, while all the time keeping his identity a secret. Banksy's latest piece in East London where a passer-by claims to have taken a photo of the artist. The guerilla artist has been spray painting his stencils around Britain and further afield for over ten years. Last week ten of his original pieces were sold at Bonham's auction house in London for over $1 million, while on the other side of the city Tower Hamlets council authority pledged to remove his graffiti from its streets. From his beginnings as a graffiti artist in Bristol, England, Banksy has become the darling of the art world for his subversive and satirical public art. Depicting things such as riot police with smiley acid-house faces and camera-wielding rats, his work is now sold now by major art galleries. Lazarides Gallery in London is one of the main dealers of his work and describes him as ""a media star...but popular long before any of this high-profile activity -- simply because the people love his stuff."" While he set out to lampoon the establishment, he has now been wholeheartedly embraced by it. Fans include Hollywood A-listers, including Brad Pitt and Angelina Jolie and Christina Aguilera who bought three of his prints in 2006, including one of Queen Victoria sitting on a woman's face. The recent sales of his work put him on a par with Jean-Michel Basquiat as the best-selling street artist. He is feted by art dealers and artists, including Damien Hirst, but he regularly mocks the art world that is so enthralled by him with ingenious stunts such as hanging his own work in the Tate gallery in London and the Metropolitan Museum of Art in New York. It took the British Museum eight days to discover the ""prehistoric"" rock painting of a man with a shopping trolley in the British Museum Banksy has hung on a wall. There is often a political message with this work, too. He left an inflatable doll dressed as a Guantanamo prisoner in Disneyland and painted a hole with blue sky on the Palestinian side of the West Bank wall. Despite the huge popularity and exposure of his work, Banksy's identity remains a mystery. As he operates on the fringes of the law with his guerilla art it makes sense, but also adds to his mystique. Some things are know: he's originally from Bristol, is around 30 years old and called Robert or Robin Banks, but it's been reported that even his parents are thought to believe that he makes his living as a painter and decorator. He continues to divide opinion as to whether his work is vandalism or public art. Veteran British art critic Brian Sewell called Banksy, ""a complete clown, and what he does has absolutely nothing to do with art."" Bristol city council has recognized the popularity and artistic merit of his work by protecting a number of pieces around the city. Other local authorities don't feel the same way. Tower Hamlets and Hackney councils in London have pledged to remove his graffiti from their streets. His latest work painted on a wall in East London -- a man in overalls resting next to a giant flower drawn as a continuation from the double yellow lines on the road -- is thought to be the artist's response. But this latest piece may also have revealed what the artist actually looks like. A passer-by took a photo of what is thought to be the artist at work. A spokesperson for Banksy refused to confirm it was him, but did say it was definitely his work.  E-mail to a friend .",0.75394535,156
5,"(CNN) -- Steven Spielberg led the FBI straight to a stolen $700,000 Norman Rockwell painting someone snatched from a Missouri gallery. It was in his collection in California. The original of this Norman Rockwell reproduction was found in the collection of Steven Spielberg last year. Spielberg wasn't the thief, and he doesn't know who took Rockwell's ""Russian Schoolroom"" -- an oil of 16 pupils looking at a bust of Lenin. All the A-list director knows is he paid about $200,000 for the 16 x 37 canvas in a legitimate purchase. The FBI says its just one example of how pilfered art lands in  respectable places. And it was an uncommon ending for stolen art -- someone found it. Recovering masterpieces happens in less than 5 percent of cases, said Bonnie Magness-Gardiner, the FBI's Art Theft Program manager. Usually, expensive pieces go missing. No one knows who took them. No one gets prosecuted, and everyone wonders, ""Why steal something you can't turn to cash quickly?"" Art thieves do a simple risk versus reward evaluation, said Corine Wegener, associate curator of the Minneapolis Institute of Arts. Thieves know that ""even if they receive only a fraction of the work's market value, the cash gained was at low risk of death or injury -- museums can be a relatively soft target,"" said Wegener, who's teaching a University of Minnesota class this month on art theft. But it could be years -- or never -- before the thief sees even a small payoff. In 1990, robbers took $300 million worth of certified masterpieces -- among them Rembrandt's ""Storm on the Sea of Galilee"" and Vermeer's ""The Concert"" -- from the Isabella Stewart Gardner Museum in Boston, Massachusetts. No one's seen them since. On Sunday, robbers made off with one of the biggest art hauls in European history, grabbing four paintings worth an estimated $163 million from the E.G. Buehrle Collection in Zurich, Switzerland. They took works by Paul Cezanne, Edgar Degas, Claude Monet and Vincent van Gogh.  See what robbers grabbed in Switzerland » . ""These paintings are extremely valuable on the open market, but they'll never go onto the open market. So at the same time they're both priceless and worthless,"" said Charles Hill, the former chief of Scotland Yard's art and antiques unit. ""Some thieves may buy into the myth that a wealthy but unscrupulous collector will contact them and offer to take the art off their hands,"" Wegener said. ""When this doesn't happen, the thieves often try to ransom the art back to the museum or the insurance company."" One London art dealer, who said he has handled stolen works, told CNN on condition of anonymity that an insurance company would rather get art back at a fraction of its original price than pay the owner its insured value.  Watch how art thieves operate » . Ransoming art to an insurance company through an intermediary adds ""up to 10 percent of the market value, which ... given the art market, is quite a lot of money,"" the dealer said. David Vuillaume, secretary general of the Swiss Museums Association, told Time magazine that ransom may be what the thieves behind the Swiss heist want. ""We are thinking that maybe in a week or two there will be a ransom demand. But we just have to wait and see,"" Time quoted him as saying. The museum has offered $90,000 reward for information leading to their recovery, Time reported. Options for art thieves . Julian Radcliffe, chairman of the Art Loss Register, which operates a database to help recover lost and stolen art, said ransom or reward are unlikely to bring results. ""It is very seldom that people have been able to undertake a ransom,"" he said. ""This gang might think that a reward has been offered, and that they'll get the reward."" But in fact, ""the reward won't be paid unless someone is arrested, or there is proper criminal intelligence,"" and that's unlikely to happen, Radcliffe said. He said the thieves may just be patient, willing to get their payoff decades later. Or the art may move through an underground network, gradually increasing in value, before being slipped back onto the legitimate market. Take Spielberg. He bought ""Schoolroom"" in an above-the-board transaction. ""Usually, these pictures will change hands in the criminal underworld at a fraction -- 1 percent or less -- of their true market value,"" Radcliffe said, before someone tries to get them back into the international market. In such an effort, the seller may hope the work has been forgotten over time or they may disguise it as a copy or student re-creation. ""They may try and sell them not as being by Degas, but as being a copy, or school, or by a follower of one of the great artists. And that is the ways in which they try and get them on the market,"" Radcliffe said. The original thieves rarely face justice, the FBI's Magness-Gardiner said. ""The stolen items turn up years, sometimes decades, after the theft,"" she said. ""Because a work of art does not require a title document in order to be transferred from one owner to another, a stolen object easily enters the legitimate stream of commerce. ""It is impossible to trace them back to the original thief in most cases. Even if the original thief can be identified, there is also a statute of limitations on prosecution for theft,"" Magness-Gardiner said. What happens to stolen art? Even if the art is recovered, original owners may not get it back. While museum pieces are likely to go back to their collections, private owners may not be so lucky. ""Russian Schoolroom"" remains in Spielberg's possession while courts determine the rightful owner, a spokesman for the director said. But art stolen from a Los Angeles mansion and sold in Sweden remains with its Swedish purchasers, according to a case file posted on the Web site of the Los Angeles Police Department's Art Theft Detail. Even though the thief was caught, ""the Swedish government refused to return the paintings, claiming that according to Swedish law, the auction buyers had purchased the paintings in good faith,"" according to the Web site. In the case of Rockwell's ""Russian Schoolroom,"" someone took it from a gallery in Clayton, Missouri, a St. Louis suburb, in 1973, according to an FBI synopsis of the case. In 2004, The FBI's Art Crime Team found out that the piece had been for sale at a New York Rockwell exhibition 15 years earlier and posted a picture and description of the painting on its art recovery Web site. Spielberg's staff learned of the search and told the FBI that Spielberg had it in his collection in Los Angeles. He had purchased it from a legitimate dealer in 1989, an FBI press release said. The agency also determined the painting was auctioned in New Orleans in 1988, but it has yet to determine who took the painting or its whereabouts from 1973 to 1988. Whoever took ""Russian Schoolroom"" from the suburban St. Louis gallery in 1973, or the masterpieces from the Boston museum 1980, or the works lifted in Zurich this week, shouldn't be mistaken for a high-society, tuxedo-wearing, ""Thomas Crown Affair"" kind of thief, Radcliffe said. ""These people are the worst sort of criminal. They are just like the criminals who traffic individuals or sell children, or murder. ""They are thoroughly unpleasant people. There is no romanticism in anyway that should be connected to it."" E-mail to a friend . CNN's Paula Hancocks and Teresa Martini contributed to this report.",0.75117457,374
6,"(CNN) -- French police were searching Friday for a Degas painting stolen from a Marseilles museum a day earlier. ""Les Choristes,"" or ""The Chorus,"" is worth about €800,000, or $1.15 million, Marseilles Police Commissioner Xavier Claudel told CNN. The 1877 pastel was on loan to the Musee Cantini from the Musee d'Orsay in Paris for an exhibition, Claudel said. It was discovered missing when staff opened the museum Thursday, he said. Investigators were going through surveillance camera footage for clues, but Claudel said he could not offer any more information about the case. Edgar Degas was a prominent member of the the Impressionists and produced a vast amount of artwork before his death in 1917 at age 83. His style, subject matter and artistic sensibility set him apart from his contemporaries, according to New York's Metropolitan Museum of Art.",0.74893075,7996
7,"NEW YORK (CNN)  -- An oil painting was returned Tuesday to the estate of a Jewish art dealer who was forced to consign the painting and other artwork under Nazi Germany before fleeing the country. ""Portrait of a Musician Playing a Bagpipe"" was done in 1632 by an unknown artist. The painting, ""Portrait of a Musician Playing a Bagpipe,"" was done in 1632 by an unknown painter from the Northern Netherlandish school, according to a statement from the U.S. attorney's office in southern New York. It was owned by Max Stern, an art dealer who had a gallery in Dusseldorf, Germany, until 1937, when the Nazis' Reich Chamber for Fine Arts ordered him to liquidate the gallery and its inventory, the statement said. Stern, who died in 1987, left no heirs. He and his wife had founded the Max Stern Art Restitution Project, which directly benefits Concordia University and McGill University in Montreal, Canada, and Hebrew University in Jerusalem, according to a statement from U.S Immigration and Customs Enforcement. The painting was returned Tuesday -- Holocaust Remembrance Day -- to Clarence Epstein of Concordia University on behalf of the executors of the estate, said Lou Martinez of the immigration agency. It was returned in a ceremony at the Museum of Jewish Heritage in New York, he said. The painting had been owned by Philip Mould Ltd., a London, England, gallery, when Lawrence Steigrad, a New York art dealer, bought it in 2008, the New York attorney's office said. Neither had any idea of the painting's past. Philip Mould Ltd. had purchased the painting the year before from Lempertz Auction House. The same auction house sold the painting in 1937 after Stern was forced to liquidate, without receiving any proceeds from the sale, the New York attorney's office said. Immigration agents used information from a Holocaust claims office in the New York state Banking Department to look into Steigrad's gallery. The art dealer ""confirmed the painting was in his possession."" and he eventually allowed agents to seize the painting, the attorney's office said.",0.7388823,2907
8,"New York (CNN) -- The Pablo Picasso painting ""The Actor"" will undergo repair work, after a woman visiting the Metropolitan Museum of Art fell onto the painting and tore the canvas, according to the museum. The museum said the Picasso work was damaged Friday when a visitor lost her balance and fell onto the unusually large 6-foot, 4-inch work. The six-inch tear is on the lower right-hand corner of the painting, the museum said in a news release Sunday. The museum did not provide details of the incident beyond saying the visitor fell onto the painting. Repair work should be ""unobtrusive,"" the museum said. The painting should be ready in time for the late April exhibition of 250 works by Picasso, the museum said. The painting marked Picasso's move from his ""Blue period"" to his ""Rose period,"" when his creations showcased costumed acrobats reminiscent of characters in Italian comedy stage plays, according to the museum.",0.7300112,9428
9,"PARIS, France (CNN) -- Leonardo da Vinci's masterpiece the ""Mona Lisa"" was attacked with a mug earlier this month, but the world's most famous painting -- protected by thick glass -- emerged with its enigmatic smile undimmed. The ""Mona Lisa"" sits behind bulletproof glass in the Louvre gallery. French police say a woman ""not in her senses"" lobbed the mug at the 500-year-old painting, which hangs in the Louvre gallery in Paris. The woman, a tourist, was later transferred from police custody to a psychiatric unit, a police spokesman told CNN. The spokesman declined to be identified, and did not say where the woman was from. The ""Mona Lisa,"" considered one of the world's most valuable paintings, sits behind bulletproof glass in a special wing of the Louvre, attracting visitors in their millions. The Italian Renaissance masterpiece, which depicts a dark-haired young woman with an aloof facial expression, has been the target of attacks in the past. In 1956 the artwork was damaged when acid was thrown at it. A rock was also thrown in a separate incident in the same year. In 1911 it was stolen from the Louvre but was returned two years later. CNN's Flora Genoux in Paris, France, contributed to this report.",0.727476,6551
