,documents,document_scores,document_ids
0,"Editor's note: A nationally syndicated columnist, Roland S. Martin is the author of ""Listening to the Spirit Within: 50 Perspectives on Faith"" and ""Speak, Brother! A Black Man's View of America."" Visit his Web site for more information. Roland S. Martin says it's time to get over the fact that baseball turned a blind eye to steroid use. (CNN) -- I loved baseball as a kid. I still have fond memories of my siblings and me, members of the ""Astro Buddies"" club, heading to the Astrodome, the eighth wonder of the world, to watch the Houston Astros play. I played the game in elementary and high school. But now, I'm sick of it, especially when steroids are brought up. The latest baseball drama surrounds a New York Times report quoting two lawyers who say that former Chicago Cubs slugger Sammy Sosa's name was on a list of players who tested positive for an illegal substance in 2003. The list supposedly contains more than 100 names of players who tested positive that year. This report comes on the heels of Alex Rodriguez of the New York Yankees admitting that he used performance-enhancing drugs a few years ago; Manny Ramirez testing positive and suspended for 50 games; and the continuing drama surrounding Roger Clemens. All three were considered locks for the Hall of Fame. But based on what we keep hearing, that'll never happen in this holier-than-thou era. OK, got it. Baseball had a terrible drug problem. Now they have a drug testing plan in place that has some teeth in it. So, can we just move the hell on? Seriously, I'm tired of rehashing the drama. As a sports enthusiast, I would love nothing better than to think that athletes in baseball, football, basketball or any other sport are as pure as heroes from yesteryear. But cheating is cheating. It has been around from Day One, and if a player thinks he can get an edge, well, it's a good bet some will try to get it. Sosa has always been suspected of using drugs, but now that two lawyers say they saw his name on the infamous sheet, he has gone, according to Rick Telander's column in the Chicago Sun-Times, ""from hero to zero."" But you know what? I don't care. Can we just all accept the fact that all of baseball -- players, management, owners, the unions -- turned a blind eye to performance-enhancing drugs ravaging the sport? And they did so because baseball was on its way to being comparable to the National Hockey League or soccer in the U.S. -- irrelevant to sports fans. After the strike in 1994 wiped out the World Series, fans were angry and didn't give a lick about the sport. But then came 1998 and the home-run derby put on by St. Louis Cardinal Mark McGwire and Sosa, both trying to break the record of 61 homers in a year set by Roger Maris of the New York Yankees. Fans were riveted by the hitting prowess of the two, and people were following their every at-bat. I was working at KRLD-AM in Dallas, Texas, that summer, and we would break into programming to broadcast the call of their at-bats when they were about to break the record. Yea, everyone had Sosa-McGwire fever. Baseball became relevant again. The players redeemed themselves, management was happy to say they worked for the sport, and the owners were delirious because the money came rolling in. So there we have it. All of baseball pulled a Robert Johnson, as in the legend of the classic blues singer who supposedly got his gift for music by making a pact with the devil. Or maybe more like Judas. The sport turned in its integrity for a few pieces of silver. Let's just accept this as a fact, acknowledge those were the dark days and move on. It's just tiring to keep going back to what happened then. It's done. It's over. So let it go. The opinions expressed in this commentary are solely those of Roland S. Martin.",0.7338116,4826
1,"(CNN) -- Cal Ripken Jr. will always be known for his consecutive games played streak, but it may surprise many people that just two years into his big-league career, he already was planning for life after baseball. Cal Ripken Jr. is introduced to the crowd at the 2002 All-Star Game in Milwaukee, Wisconsin. While many of the athletes who took to the playing fields of major league baseball this season only are focused on the game, Ripken began saving and planning for retirement long before his career neared its end. ""When I joined the Orioles [in 1982], the team was transitioning,"" said Ripken, who will be inducted into the Baseball Hall of Fame in July. ""I saw guys who were 34, 35, 36 years old -- still young guys -- about to get out of the game, and I wondered what will they do now? ""It got me thinking about what I would want to do when I got out of the game. Most people don't realize how fast the time goes, but I turned those questions on myself."" Though he quickly points out that he didn't dwell on those questions, Ripken admits it got him thinking, and eventually planning, so that when retirement came in 2001, the shift from baseball to business was easy. ""From the outside, I'm sure it looked like a smooth transition just by virtue of the fact that I had another thing to go into,"" he said. ""I had prepared for what was next."" These days, five seasons after retiring from a 21-year career he spent with the Baltimore Orioles, Ripken is a businessman, team owner, radio-show host and author. He also will be a baseball analyst for TBS, which like CNN.com is owned by Time Warner. Ripken jumped full time into his company, Ripken Baseball, without taking any break, lessening the emotional jolt of retirement. ""I didn't give myself the luxury of taking a month off [after the baseball season],"" he said. ""I think I would have opened myself up to regret, thinking about the past. I had to get a minor league baseball team in that stadium. I just put my head down and started working."" Ripken's first post-baseball venture was developing a youth ballpark in his hometown of Aberdeen, Maryland, financed in part by a $75,000 gift from the Major League Baseball Players Association. It was presented to him the night he broke Lou Gehrig's record for consecutive games played. Ripken was a ""rookie"" for the second time in his life, this time in business. ""I was learning all over again, learning what was important,"" he said. ""The off-season never went by so fast. I had meetings, phone calls, plans and long days in the office. ""By the time I looked up, [the Orioles] were at spring training. I didn't think, 'They left without me,' which is what I thought I would do."" Ripken's latest project is a business principles book called ""Get in the Game: 8 Elements of Perseverance That Make the Difference,"" co-authored by Donald T. Phillips. The book, available April 10, was born out a speech Ripken gave about the ""secrets"" of his success. Writing it turned out to be an emotional journey, he said. ""I got to reflect on what my parents had taught me, the values and principles, right and wrong,"" Ripken said. ""It's good to be in touch with those things."" The fact is, whether in baseball or business, Ripken rarely strays from the principles he learned from his late father, Cal Sr., a former player and manager. The book is filled with anecdotes from on and off the field. Now 46, Ripken is president and CEO of Ripken Baseball, and his brother, Bill, a former teammate, is executive vice president. The company owns minor league teams in Aberdeen and in Augusta, Georgia. The brothers also have co-written two books on baseball and co-host a baseball call-in show on weekends on XM Radio. There were reports in December that Ripken was heading a group that was interested in buying the Orioles, but Baltimore owner Peter Angelos denied that claim. ""There is no question that Cal and I have a great relationship,"" Angelos told The (Baltimore) Sun. ""He was a great player for the Orioles, and I have an affection for him. But what's being reported, there is simply no substance to it. It has not happened. There have been no such discussions."" Still, Ripken said he probably would ""stick his nose in"" if the Orioles became available. Ripken, who has a boy and a girl, also has ventured into children's literature, and his first book is scheduled to be released Thursday. ""The Longest Season"" tells the story of the 21-game losing streak Ripken and his Orioles teammates endured in 1988 and teaches the lessons of perseverance. Ripken also continues his longstanding association with the Boys and Girls Clubs of America through the Cal Ripken Sr. Foundation. The foundation says it has refurbished fields, donated hundreds of thousands of dollars to Boys and Girls Clubs throughout the country and teamed up with Nike to help provide baseball and softball equipment to school sports programs nationwide. Asked what type of advice he would offer to young professional baseball players, Ripken said, ""Put that [huge contract] aside, save your money, that's your nest egg. In the off-season, think about skill development or the interests you have in a small way but be very careful. ""You can't think too much about retirement as a young player. You have to live a narrow existence for your sport."" E-mail to a friend .",0.7331114,4952
2,"(Mental Floss) -- 1. Bobby Murcer's biggest fan . Former New York Yankee Bobby Murcer warms up  during Old Timers Day Yankee Stadium on July 7. Our first story has a fairy-tale middle and a horrible ending. In August of '77, Bobby Murcer of the Cubs promised to hit a home run for terminally ill fan Scott Crull. That night, Murcer hit two of them. Pretty amazing, especially when you consider Murcer only hit nine homers the whole next season. But that's not why Crull -- a 12-year-old from Calumet City, Illinois -- makes this list. Broadcasting the game nationally on ABC, Keith Jackson told the country how Murcer had fulfilled the dying boy's last wish. Eyes watered, spines tingled. There was only one problem -- nobody had ever told the boy he was dying. His parents were horrified. Weeks later, Crull passed away. 2. The good luck charmers . Every sport has its own strange traditions. I'd argue hockey's ""throwing an octopus on the ice for good luck"" is the weirdest. Tossing the eight-tentacled cephalopod was the brainchild of Detroit storeowners Pete & Jerry Cusimano. The date: April 15, 1952. The logic: one tentacle for each of the eight victories it took to win the Stanley Cup. Later that spring, most likely fueled by the good luck octopus, the Red Wings won the title. PETA has objected to this practice, which continues to this day. The Red Wings mascot is not a Red Wing, but Al the Octopus. 3. The John 3:16 guy . Also known as ""Rainbow Man,"" the born-again Rollen Stewart and his John 3:16 signs were fixtures at major events in the 1970s and 80s. He brought his message to the World Series, Super Bowl, Olympics, and World Cup. He was outside Buckingham Palace when Di and Charles wed; he went to see the Pope in Alaska. But he was more religious fanatic than sports fan. According to the Los Angeles Times, Stewart planned to assassinate President Bush and candidate Clinton in 1992. And he's now serving three life sentences for holding a maid hostage at a Los Angeles Hyatt, also in 1992. By the way, chapter three, verse sixteen of the Gospel of John says, ""For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life."" This is also printed on cups at the In-N-Out Burger. 4. The All-Star heckler . For 12 years, Maryland lawyer and Washington Bullets fan Robin Ficker was the NBA's most prominent heckler. With season tickets behind the visiting team's bench, his antics were legendary. When he reminded Frank Layden of the Jazz that ""USA Today"" had rated him Worst Dressed Coach, Layden had to be restrained by security. With the Bulls in town, Ficker loudly read excerpts of Maverick, coach Phil Jackson's sex-laden 1975 autobiography. During the 1993 Suns-Bulls NBA Finals, Charles Barkley (of the Suns) flew Ficker to Phoenix and bought him a ticket behind the Chicago bench. Ficker was ejected in the first quarter. The Bullets became the Wizards in 1997 and moved into the MCI Center the following season. Ficker's new seats were not in shouting distance of the visiting team, forcing him into heckling retirement. Last year he received 9.5% of the vote in a losing bid for Montgomery County Executive. 5. Kim Jong-il . That's right, the world's most feared dictator is a hoops junkie. During a 2000 visit, then-Secretary of State Madeleine Albright presented him a basketball signed by Michael Jordan. The Chicago Bulls are the favorite team of Kim Jong-il, who reportedly has a video library with every game Jordan ever played. At 5'3"", the Supreme Commander of the Korean People's Army is roughly the same height as Muggsy Bogues. 6. David Letterman's Stalker . David Letterman's biggest fan was also his biggest headache. When she was arrested for stealing Dave's Porsche in 1988, Margaret Ray told police she was Mrs. Letterman. She was a frequent trespasser on Dave's estate, once camping out on his tennis court. Ray's antics made her a regular monologue target. But the jokes stopped in 1998, when Ray jumped in front of a moving train. The collective guilt spread when we learned she was schizophrenic, as were her two brothers, who also committed suicide. 7. Joe from Saddle River . A die-hard Jets, Mets and Rangers fan, Joe Benigno was a frequent caller to WFAN, New York's all-sports radio station. Benigno won the station's Fan Appreciation Day contest in 1994, earning a chance to guest-host his own show. By 1995, Joe was WFAN's overnight guy, a title he held for almost a decade. In 2004, he was deemed ready for daytime and given the 10 a.m.-1p.m. timeslot. For all the lonely and passionate talk radio callers out there, Joe gives hope. 8. Steffi Graf's biggest fanatic . Deranged and obsessed with seeing Steffi Graf return to the top of the rankings, Gunter Parche stabbed Monica Seles during a 1993 match in one of the most disturbing incidents in sports history. Almost as disturbing was his punishment. Parche received a two-year suspended sentence and was ordered to attend mandatory counseling. Even more shocking, I can't find footage of any of this on YouTube. Also receiving votes:  John Hinckley; the fan who started the Pistons-Pacers brawl in 2004; Jeffrey Maier; The Kissing Bandit; ""Butch"" from Middlebury; Metallica superfan-turned-bass player Jason Newstead; and Steve Bartman. E-mail to a friend . For more mental_floss articles, visit mentalfloss.com . Entire contents of this article copyright, Mental Floss LLC. All rights reserved.",0.7048907,199
3,"(CNN) -- Why do we watch? Bob Greene says athletes like Lebron James show us the difference between ordinary effort and excellence. The question applies not just to Sunday's NBA All-Star Game, although that is the immediate case in point. The outcome of the game is not important -- few people remember who wins the All-Star Game from year to year. The players, while attempting to win, do it with barely concealed smiles on their faces. All-Star weekend is mostly a class reunion for basketball's elite. But all the games, in all the seasons, in all the big-time sports leagues -- what is the real reason we keep on watching? You might think that we'd finally grow weary of caring, with headlines about Alex Rodriguez and Barry Bonds, with the sports pages often reading like the business pages (contract disputes and stadium bond-issue negotiations and salary arbitration), with police-blotter details sometimes pushing aside the box scores. Why do we watch? The answer may be found in a single sentence written by a man who died at the age of 76 in this still-new year. John Updike, his literary brilliance aside, was prolific almost beyond belief -- he wrote more than 50 books, and hundreds upon hundreds of essays, short stories, articles, poems and works of criticism. All those careful words, year after year, decade after decade. But of all the sentences Updike ever wrote, there is one that I have long encouraged people to carry around with them -- if not literally tucked into their wallets, then somewhere in their heads and in their hearts. In that sentence of Updike's lies the secret to a lot of things -- including the secret that answers: Why do we watch? The sentence appeared in Updike's 1960 nonfiction piece about Ted Williams's last game for the Boston Red Sox. That piece is famous for how Updike explained Williams's refusal to come out of the dugout and acknowledge the cheering, crying fans after his home run in his final at-bat: ""Gods do not answer letters."" But it is another sentence in the story that explains everything -- not just about sports, but about the lives the rest of us can lead. Referring to Ted Williams, Updike wrote: . ""For me, Williams is the classic ballplayer of the game on a hot August weekday, before a small crowd, when the only thing at stake is the tissue-thin difference between a thing done well and a thing done ill."" There it is, right there. That tissue-thin difference, when you don't necessarily know anyone is watching -- there is the answer. We all face the choice in our lives every day: to make the extra effort or not, to stay at the desk for the extra fifteen minutes or to go home, to revise the project one more time before handing it in or to settle for something acceptable, if not quite excellent. On fields of play -- baseball diamonds, football fields, a basketball court like the one on which Sunday's All-Star Game will be held -- the tissue-thin difference is there for the world to see. The lights are dazzlingly bright; the television cameras carry the close-ups around the globe. If a player is dogging it, we can tell; if a player is jogging instead of sprinting, it's self-evident; if a player's mind is already at the party that will be held after the final buzzer, we know. Yet once in a while -- we can see it in a player's eyes -- we are rewarded. Once in a while, sometimes when we are least expecting to witness it, it's there: a tiny move, an all-but-imperceptible lunge, an additional thrust, a reach beyond that which should by all reason be reachable. It was true during small and glorious moments in the days when Bob Cousy and Elgin Baylor were on the basketball court; it is true during small and glorious moments today, when Kobe Bryant and LeBron James are on the court. Updike's tissue-thin difference. A thing done well, when the player could have gotten away with a thing done ill. Are the rest of us the same as the players on the court? In most ways, no. We lack their athletic skill, their physical grace, their monetary riches. They hear cheers every working night; we toil in silence. And yet, the one way in which we can be the same, or at least strive to, is in that pursuit of the tissue-thin difference. The thing that makes the best of them different is the thing that offers us, too, the potential to earn that difference -- the effort beyond mere effort, the desire beyond standard-issue desire, the pride so strong that it becomes the definition of pride. Why do we watch? We watch for those moments. They may be fleeting; they may come and go so quickly we're not even certain, for an instant, that we actually saw them. But they're real, and they can be ours. We wait for them. The opinions expressed in this commentary are solely those of Bob Greene.",0.7003756,1734
4,"(CNN)  -- Baseball's biggest stars are in New York for Tuesday's All-Star game, as the sport says goodbye to one of its most famous landmarks. Joseph Cornacchia, left, used to play with Babe Ruth when he was a kid, his son Jim says. It's the Yankees' final season at the ""House that Ruth Built,"" and MLB.com reports that 40 Hall of Famers are expected to attend the historic event. We asked CNN.com readers to share their baseball memories and to tell us about meeting their favorite players. iReporter Jim Cornacchia of Rye, New York, says his grandmother taught Babe Ruth to ""make a mean batch of chili."" He said the legendary slugger would come to  Greenwood Lake, New York, during the off season and would visit with his family. iReport.com: Ever met your favorite player? Cornacchia's father, Joseph, who just turned 76, would play wintertime games with ""The Babe"" as a child, and even built a snowman with him. Patrick Palmer, 43, has been a Yankees fan since he was a kid, even though he grew up in Iowa. ""My father was a Yankees fan, and it was just handed down through the generations,"" he said. Palmer has a baseball signed by about 20 Yankees players and other memorabilia, but said his biggest thrill was meeting relief pitchers Sparky Lyle and Rich ""Goose"" Gossage. ""It was also amazing to shake hands with one of the most feared pitchers of his day, Goose Gossage, and really see what a gentle person he could be,"" See what Palmer wrote on iReport.com. New Yorker Matthew Friedman said he met Hall of Famer Ryne Sandberg last August after singing ""God Bless America"" before a Peoria Chiefs minor league game. Friedman was in town as part of the Broadway touring production of ""Movin' Out."" He said he would sing at the game only if he could meet Sandberg, who was managing the Chiefs. ""He was such a nice guy,"" he said. Friedman is a Mets fan, but said the Cubs legend was ""the kind of player I thought other players should be."" He said it was a meeting he'll never forget, and one he'll tell his children about again, and again, and again. ""I have a child on the way,"" he said. ""I can't wait."" Meeting a childhood hero was a test of courage for many young fans. iReporter thedeke almost didn't get to shake slugger Roger Maris' hand during a trip to Yankee Stadium as a 10-year-old. ""He was only 3 kids from me when he turned and started for the field,"" he wrote.  ""Why I said what I did, I will never know, but I actually yelled at Roger saying, 'Roger Maris! Don't you dare walk away with out shaking my hand!' "" Maris smiled, walked up to him and ""grabbed my hand with both of his and without saying a word he gave me a wink and off he went,"" thedeke wrote. Phil Miller was a 17-year-old bat boy for the Tacoma Rainiers in 1995 when he got to meet star outfielder Ken Griffey Jr. Griffey was playing for the Seattle Mariners at the time and was in the minor leagues while he was recovering from a wrist injury. Chasing fly balls Griffey hit during batting practice is something Miller said he will never forget. ""I wish I could freeze time and relive that 15 minutes over and over,"" he wrote. Miller was nervous about talking to Griffey in the locker room, but he said he broke the ice by asking him about his wife's pregnancy -- news that wasn't out yet. Griffey laughed when he found out his mother-in-law had shared the news with Miller's mom in a Tacoma hair salon, Miller said. Even baseball's most controversial figures provide fond memories. Kenny Lucas met Barry Bonds, the all-time leading home run hitter, in 2006 at a Colorado Rockies game. The former Giants star has been dogged by steroid allegations and has a reputation for being difficult, but Lucas said ""he was a very cool guy."" ""I used to think of Barry as another arrogant athlete, but he treated me as an equal and invited me into his conversation,"" Lucas said. iReporter natsmom24 met Pete Rose at a golf course when he was 11 years old. In 1991, Rose and other members of the Cincinnati Reds were at a golf course near his house, so natsmom24 tried to get some autographs. Several players ignored him and walked past, but he said Rose approached him and asked to sign his ball. He talked to him and then took him to the clubhouse and bought him a Snickers and a Coke. ""I was on top of the world! I was hanging out with Pete Rose! The Hit King! Charlie Hustle! No one was going to believe me when I told them this,"" he wrote. He said that not even his parents believed him until he showed them the autographed ball.",0.6984248,1559
5,"NEW YORK (CNN) -- Legendary football coach and broadcaster John Madden is retiring, he announced Thursday. John Madden appears at the TV Critics Association Press Tour in Beverly Hills, California, in 2008. ""It's been such a great ride ... the NFL has been my life for more than 40 years, it has been my passion -- it still is,"" he said in a statement released by NBC Sports. Madden, 73, was a Hall of Fame coach for the Oakland Raiders, but is best known to millions as an ebullient football commentator. He won 16 Emmy awards for outstanding sports analyst/personality, NBC said.",0.69803864,2771
6,"LONDON, England  -- American basketball is planning to create up to five new European franchises who would compete for the NBA Championship, according to a report by Sports Illustrated. NBA stars such as Kobe Bryant may soon be seen on a regular basis in Europe. The astonishing claims come hard on the heels of plans by the football's English Premier League to play matches overseas and underline the growing trend of globalization in major sports leagues. This was further evidenced by Super Bowl champions New York Giants playing a regular NFL season game against the Miami Dolphins at Wembley Stadium in London, but the NBA's leaked plans go far beyond that. A report on the Sports Illustrated Web site, says NBA commisioner David Stern will reveal his proposals on the eve of the All-Star Game in New Orleans this weekend. The plans are understood to include the formation of a European division with five new teams in major markets. The teams would play a full 82-game schedule and compete for the NBA championship. It is not the first time that Stern has entertained the concept of overseas expansion. He broached the idea in 2003, saying at the time that the league would look into European expansion within a decade. Those plans were scrapped, however, with the NBA instead focusing on developing its relationship with China and other emerging basketball markets. The number of European and overseas players has steadily increased in the NBA and basketball enjoys a particularly high profile in Spain, France, Italy, Greece and the Balkans. The NBA has played regular-season games in Japan and Mexico, and played exhibition contests this season in London and Rome. Meanwhile, Los Angeles Lakers star Kobe Bryant is doubtful for Sunday's All-Star game with a damaged finger. Bryant, who dislocated his right pinkie last week, scored 29 points in 35 minutes in Wednesday's 117-92 win at Minnesota. Bryant sat out the fourth quarter and had the finger X-rayed after the game. E-mail to a friend .",0.694891,651
7,"Editor's note: CNN.com's Wayne Drash writes about his maniacal love for University of Memphis basketball. Memphis, North Carolina, UCLA and Kansas play in the Final Four this weekend. Drash says the Memphis team can help heal the city's old wounds. CNN.com's Wayne Drash, left, says he's been hooked on University of Memphis basketball since he was a kid. ATLANTA, Georgia (CNN) -- My love for University of Memphis basketball is completely irrational. I never went to school there and have no affiliation with the university. But I bleed Tiger blue. My dad used to take my brothers and me to Memphis games as a kid, and I've been hooked ever since. We once bought tickets from a scalper for six bucks apiece against arch-rival the University of Louisville in the 1980s. My dad complained we paid too much. But then we moved in seventh grade. I became an even bigger fan after we left the city. I'd huddle over my AM radio, hooked up with a coat hanger wrapped in aluminum foil as an antenna. More than 350 miles away, I managed to pick up the then-Memphis State games through the crackle and static of the radio. Memphis basketball was my only way to remain connected to my youth and the city that I loved. That was 1985, the last time Memphis made the Final Four. Is your team in the Final Four? Send your iReport celebratory photos . Back then, Memphis was led by a phenom named Keith Lee. He was best known for a sweet baseline jumper as soft as the nylon nets he swished. He was also known for his giant Afro. He was listed as 6 feet 10 inches. The joke was if you included his wild hairdo, he was 7-4. When my parents were away at work, sometimes I'd sneak into my mom's cabinet, steal her mousse and then put it in my hair. Then this white kid would go out back and shoot hoops for hours, hair sticking straight out like I stuck my finger in a socket. It was the only way I could be like Lee, my hero and idol. Back then, Memphians would rank Lee right up there with Elvis Presley as the city's most popular icons. Many still do. And that's the thing about Tiger basketball. In a place where race has often divided so much of it, Memphis basketball has helped unite the city. As a boy, white and black kids would crowd the basketball court at Tiger games to try to snatch the players' sweatbands as they raced into the locker room. Up until I graduated from high school, the sweatbands of Phillip ""Doom"" Haynes and Baskerville ""Batman"" Holmes sat on my shelf in my room. Like a fan of any team, there have been good and bad times over the years. But sometimes the pain of being a Tiger fan is that much greater. Tragedy and heartbreak are part of it, such as  when Holmes killed his girlfriend and then himself in 1997. Other players, such as Aaron Price and A. Maceo Battle, have died far too young along the way, furthering the pain of being a fan. Larry Finch -- who as a black player brought together the city and took Memphis to its only national championship game in 1973, and later became one of its greatest coaches -- has lived much of the past few years in a rehabilitation center after suffering severe strokes. In some ways, that's what makes Memphis basketball so special. Memphis players embody the real life of so many Americans, many faced with extreme hard times. Some succeed; some don't. Others, such as Finch, keep on fighting. I don't find it an accident that Memphis is now seeking history the same week of the 40th anniversary of the assassination of the Rev. Martin Luther King Jr. ""I think Dr. King would find this a source of joy,"" the Rev. Jesse Jackson told the team this week, according to the Memphis Commercial Appeal newspaper. A city that has seen so much pain, so much heartache, has something huge to celebrate -- all revolving around young college kids and a bouncy orange ball. The adage is that sports often have the ability to transcend the moment. This is one of those times. To get to the championship game Monday night, Memphis must first get past UCLA, the same team that defeated it in that 1973 title game. While much of the rest of the nation has the team pegged to lose, the Tigers -- for one shining moment -- have a chance to do something really special. They'd have it no other way. As for me? I won't be listening on my old radio, but this weekend I might just try sporting that 'do like Keith Lee. The opinions expressed in this piece are solely those of the writers. E-mail to a friend .",0.69112885,684
8,"DETROIT, Michigan (CNN) -- It's a stimulus plan on sneakers. The NCAA men's Final Four at Detroit's Ford Field could generate $30 million to $50 million from visitors. The NCAA men's basketball Final Four couldn't come at a better time for the city of Detroit -- the hard-hit capital of the U.S. auto industry at the center of the state of Michigan's economic woes. The 12-percent unemployment rate here is the highest in the nation, and with the Big Three automakers all needing multibillion-dollar government bailouts in an attempt to stay afloat, the future isn't much brighter, some say. ""We need some help,"" said Detroit resident Mark Franklin, who took his 5-year-old son to Friday's Hershey's College All-Star Game at Ford Field. ""There are too many people out of work already. Even if you have a job, you know someone who doesn't."" Enter the Final Four and a quartet of powerhouse college basketball teams -- all seeking NCAA brass. Connecticut, Michigan State, North Carolina and Villanova have won a combined nine NCAA championships and reached 31 Final Fours. But more important to the city are the visitors -- and the wallets -- that college basketball's marquee weekend will bring to Detroit. City leaders expect 100,000 fans to visit -- staying in hotel rooms, renting cars and spending an anticipated $30 million to $50 million. The participation of Michigan State adds icing on the cake. The school's campus sits just 90 miles away, in East Lansing, giving the Spartans a home-floor advantage as they give locals some added pride on a special weekend. MSU helped things along mightily by advancing to the finals Saturday, defeating Connecticut 82-73. In the national championship game, the Spartans will play North Carolina, 83-69 victors over Villanova later Saturday. More than half the Michigan State players are from in-state and many have felt the impact of the region's economic woes. ""I have family that are unemployed right now,"" said sophomore guard Durrell Summers, who starred at Detroit's Redford Covenant High School. ""[For the Final Four] to bring that kind of money in, hopefully it can help open up jobs for my family and for other families because some people got laid off for no reason."" Watch Elaine Quijano's report on a GM dealer's perspective . Detroit's first Final Four is the latest in a series of big sporting events for the city. The Pistons have hosted a pair of NBA Finals in suburban Auburn Hills, while the NHL's Red Wings have won two Stanley Cups at downtown Joe Louis Arena. Baseball's Tigers have played in a World Series and its home, Comerica Park, hosted an MLB All-Star game. This weekend's host venue, Ford Field, was the site of Super Bowl XL and Oakland Hills Country Club was home to the 2004 Ryder Cup and the PGA Championship last August in nearby Bloomfield Hills. This is the first year of a new stadium configuration for the Final Four, requiring host domes to use all permanent seating to meet a 70,000-seat minimum. ""You see people driving up just to take a picture of the Final Four sign on (Ford Field). It's something to be proud of,"" Franklin said. ""Now we need city leaders to take advantage of it.""",0.6899166,5126
9,"(CNN) -- When pitcher Josh Faiola walks out of the dugout on opening day with the Lake Erie Crushers, he'll already have a large group of fans in the stands -- his new roommates at the Belvedere of Westlake assisted living facility. Pitcher Josh Failoa stands as residents and friends of The Belvedere of Westlake welcome him Tuesday. The 25-year-old, who was drafted in 2006 by the Baltimore Orioles and is trying to work his way to the majors, admits he was caught a little off guard when he was told about his new housing situation. ""At first I was like, 'OK, that's a little different,' "" he said. ""I was taken aback at first."" And he was also the butt of a couple jokes from his teammates. ""They were saying things like 'So what's the deal? Do you have to go to bed early?' "" Faiola said. But then he told them about his room -- a large suite, with his own kitchenette, washer and dryer, furniture and a TV. ""Then they changed their tune,"" he said. ""They were like 'That's awesome. Are they any other vacancies?' "" Like many of the players in the independent Frontier League who don't rake in the big bucks, Faiola is living with a host family. But his host family is a little different. Most of the players live with families with younger children. But in his case, Faiola is the young one -- about 55 years younger than the rest of his ""roommates."" Eighty-four-year-old Meda Dennis, who has been living in the center for four years, said Faiola's arrival is the most exciting thing to happen since a good Elvis impersonator showed up. ""It's been quite exciting because he's young and new and interesting and we're old,"" she joked. Faiola made his way to the assisted living center in Westlake, Ohio, near Cleveland, with the help of Cindy Griffiths-Novak. She heard the new local baseball team was looking for host families for the players. But because she has a 3- and 4-year-old at home, she turned to her family's assisted living center as an option for Faiola. Griffiths-Novak went to the residents with the idea and they unanimously voted for Faiola to live there. But his new housing situation is about more than just a place to crash after the game. ""It certainly is great for the residents because now we get a lot of energy and youth and excitement,"" Griffiths-Novak said. It has turned into an exciting time for the residents, who jumped at the chance to decorate the entire facility before the pitcher's arrival. ""You should see the decorations,"" Griffiths-Novak said. ""The residents all signed motivational good luck pennants for him, there's a 40-foot banner, we have a whole thing dedicated to Josh. I'm sure he is so embarrassed with all of the baseball cards with their face on it."" They've made signs telling him he's in a league of his own, but they've also set their expectations high for him. ""Some of the pendants say things like 'Don't get cut, move your butt,' "" Griffiths-Novak said. ""He's certainly going to be under the microscope! We'll be watching and keeping track of all of his stats."" Faiola was awestruck when he walked in and saw all of the decorations. The activity director has been doing craft activities with the residents -- making visors with baseball logos and Crushers necklaces in anticipation of the game. Dennis is looking forward to watching their new ace pitcher hit the mound even though she hasn't seen a baseball game live in a while. ""Anything's better than the Indians right now,"" Dennis joked. ""We'll definitely be cheering for him, though, and if he happens to have a bad game, he'll have a lot of shoulders to cry on. But I don't think he'll need them."" Norma J. Lane, 85, said even though she's more of a football fan, she's looking forward to following Faiola and baseball more closely. ""We are just wishing him well because it's such a great experience for all of us,"" Lane said. ""We're looking forward to having him around."" Faiola said he is excited to help bring some fun to the residents, some of whom are already considering him to be like a grandson. ""I always loved spending time with my grandparents and one of my great-grandparents was in an assisted living home and I remember how excited she was to see us when we went to visit her,"" he said. ""And they are being so nice to open up this place to me, so hopefully I can bring a little bit of joy."" Faiola, who had surgery two years ago and was dropped from the Orioles during spring training, is hoping his stint with the Crushers can help get him picked up by a Major League team. Regardless of what happens, he knows he has the support of his new roommates. ""They've all really come out and supported me, they even bring me food and give me snacks,"" he said. ""I couldn't ask for anything better. And with all of them watching so closely, I'll have to keep my game up. They've definitely set a high bar for me.""",0.6845058,3790
